"locality","lon","lat","emergence","host","host.gen","radius","ENM_avz_sd","ENM_avm_sd","ENM_avs_sd"
"Gombe",11.170659,10.282907,0.517241379,"sorghum","KSY-15",50000,0.212529000237374,0.107604162938889,0.0911863757498706
"Gombe",11.170659,10.282907,0.468965517,"sorghum","SRN-4841",50000,0.212529000237374,0.107604162938889,0.0911863757498706
"Gombe",11.170659,10.282907,0.013793103,"millet","SE302",50000,0.212529000237374,0.107604162938889,0.0911863757498706
"Gombe",11.170659,10.282907,0.068965517,"millet","SE2124",50000,0.212529000237374,0.107604162938889,0.0911863757498706
"Gumi",5.11558,12.130529,1,"maize","8322-13",50000,0.116677748377902,0.0978176947064124,0.0657656642887974
"Gumi",5.11558,12.130529,0.794871795,"maize","8425-8",50000,0.116677748377902,0.0978176947064124,0.0657656642887974
"Gumi",5.11558,12.130529,0.605128205,"maize","8338-1",50000,0.116677748377902,0.0978176947064124,0.0657656642887974
"Gumi",5.11558,12.130529,0.553846154,"maize","8321-21",50000,0.116677748377902,0.0978176947064124,0.0657656642887974
"Gumi",5.11558,12.130529,0.907692308,"sorghum","KSY-15",50000,0.116677748377902,0.0978176947064124,0.0657656642887974
"Gumi",5.11558,12.130529,0.220512821,"sorghum","SRN-4841",50000,0.116677748377902,0.0978176947064124,0.0657656642887974
"Gumi",5.11558,12.130529,0.01025641,"millet","SE302",50000,0.116677748377902,0.0978176947064124,0.0657656642887974
"Gumi",5.11558,12.130529,0.025641026,"millet","SE2124",50000,0.116677748377902,0.0978176947064124,0.0657656642887974
"Gwoza",13.695827,11.077483,0.807142857,"maize","8322-13",50000,0.240842109615591,0.100152769720729,0.142174922847057
"Gwoza",13.695827,11.077483,1,"maize","8425-8",50000,0.240842109615591,0.100152769720729,0.142174922847057
"Gwoza",13.695827,11.077483,0.907142857,"maize","8338-1",50000,0.240842109615591,0.100152769720729,0.142174922847057
"Gwoza",13.695827,11.077483,0.928571429,"maize","8321-21",50000,0.240842109615591,0.100152769720729,0.142174922847057
"Gwoza",13.695827,11.077483,0.95,"sorghum","KSY-15",50000,0.240842109615591,0.100152769720729,0.142174922847057
"Gwoza",13.695827,11.077483,0.514285714,"sorghum","SRN-4841",50000,0.240842109615591,0.100152769720729,0.142174922847057
"Gwoza",13.695827,11.077483,0.228571429,"millet","SE302",50000,0.240842109615591,0.100152769720729,0.142174922847057
"Gwoza",13.695827,11.077483,0,"millet","SE2124",50000,0.240842109615591,0.100152769720729,0.142174922847057
"Jibiya",7.061331,12.867239,0.368,"maize","8322-13",50000,0.129149547394414,0.15466653739474,0.122862244053575
"Jibiya",7.061331,12.867239,0.488,"maize","8425-8",50000,0.129149547394414,0.15466653739474,0.122862244053575
"Jibiya",7.061331,12.867239,1,"maize","8338-1",50000,0.129149547394414,0.15466653739474,0.122862244053575
"Jibiya",7.061331,12.867239,0.448,"maize","8321-21",50000,0.129149547394414,0.15466653739474,0.122862244053575
"Jibiya",7.061331,12.867239,0.292,"sorghum","KSY-15",50000,0.129149547394414,0.15466653739474,0.122862244053575
"Jibiya",7.061331,12.867239,0.212,"sorghum","SRN-4841",50000,0.129149547394414,0.15466653739474,0.122862244053575
"Jibiya",7.061331,12.867239,0,"millet","SE302",50000,0.129149547394414,0.15466653739474,0.122862244053575
