X,locality,emergence,host,host.gen,lat,lon,millet.spec,sorghum.spec,ENM_a_m50km,ENM_a_s50km
167,Maradi,0.116504854,sorghum,1202B,13.506128,7.103067,1,0,-0.263584104,0.015235469
168,Maradi,0.155339806,sorghum,2219B,13.506128,7.103067,1,0,-0.263584104,0.015235469
169,Maradi,0.588072122,millet,B-282,13.506128,7.103067,1,0,-0.263584104,0.015235469
170,Maradi,0.485436893,millet,Ex-Bomu,13.506128,7.103067,1,0,-0.263584104,0.015235469
171,Maradi,0.104022191,millet,J-104,13.506128,7.103067,1,0,-0.263584104,0.015235469
172,Maradi,1,millet,D2-Comp,13.506128,7.103067,1,0,-0.263584104,0.015235469
173,Maradi,0.78779473,millet,CIVT-II,13.506128,7.103067,1,0,-0.263584104,0.015235469
174,Maradi,0.117891817,maize,D-771,13.506128,7.103067,1,0,-0.263584104,0.015235469
175,Maradi,0.104022191,maize,Diara,13.506128,7.103067,1,0,-0.263584104,0.015235469
176,Maradi,0.525658807,maize,Syn-B23,13.506128,7.103067,1,0,-0.263584104,0.015235469
177,Maradi,0.310679612,maize,L-4,13.506128,7.103067,1,0,-0.263584104,0.015235469
178,Mintimbougou,0.248478702,sorghum,IS-5603,12.614931,-7.956554,1,0,0.065646209,-0.016632554
179,Mintimbougou,0.684584178,sorghum,SRN-4841,12.614931,-7.956554,1,0,0.065646209,-0.016632554
180,Mintimbougou,0.248478702,sorghum,N-13,12.614931,-7.956554,1,0,0.065646209,-0.016632554
181,Mintimbougou,1,sorghum,CK-60B,12.614931,-7.956554,1,0,0.065646209,-0.016632554
182,Mintimbougou,0.345841785,sorghum,1202B,12.614931,-7.956554,1,0,0.065646209,-0.016632554
183,Mintimbougou,0.594320487,sorghum,2219B,12.614931,-7.956554,1,0,0.065646209,-0.016632554
184,Mintimbougou,0.690669371,millet,B-282,12.614931,-7.956554,1,0,0.065646209,-0.016632554
185,Mintimbougou,0.72515213,millet,Ex-Bomu,12.614931,-7.956554,1,0,0.065646209,-0.016632554
186,Mintimbougou,0.364097363,millet,J-104,12.614931,-7.956554,1,0,0.065646209,-0.016632554
187,Mintimbougou,0.776876268,millet,D2-Comp,12.614931,-7.956554,1,0,0.065646209,-0.016632554
188,Mintimbougou,0.918864097,millet,CIVT-II,12.614931,-7.956554,1,0,0.065646209,-0.016632554
189,Mintimbougou,0.109533469,maize,D-771,12.614931,-7.956554,1,0,0.065646209,-0.016632554
190,Mintimbougou,0.137931034,maize,Diara,12.614931,-7.956554,1,0,0.065646209,-0.016632554
191,Mintimbougou,0.165314402,maize,Syn-B23,12.614931,-7.956554,1,0,0.065646209,-0.016632554
192,Mintimbougou,0.109533469,maize,L-4,12.614931,-7.956554,1,0,0.065646209,-0.016632554
193,Mokwa,0.292134831,maize,8322-13,9.2894,5.056659,0,1,0.0354974,-0.099963618
194,Mokwa,1,maize,8425-8,9.2894,5.056659,0,1,0.0354974,-0.099963618
195,Mokwa,0.488764045,maize,8338-1,9.2894,5.056659,0,1,0.0354974,-0.099963618
196,Mokwa,0.382022472,maize,8321-21,9.2894,5.056659,0,1,0.0354974,-0.099963618
197,Mokwa,0.58988764,sorghum,KSY-15,9.2894,5.056659,0,1,0.0354974,-0.099963618
198,Mokwa,0.573033708,sorghum,SRN-4841,9.2894,5.056659,0,1,0.0354974,-0.099963618
199,Mokwa,0.213483146,millet,SE302,9.2894,5.056659,0,1,0.0354974,-0.099963618
200,Mokwa,0.101123596,millet,SE2124,9.2894,5.056659,0,1,0.0354974,-0.099963618
201,Ngezima,0.220264317,maize,8322-13,11.423724,11.130908,0,1,0.000539252,-0.019497032
202,Ngezima,0.374449339,maize,8425-8,11.423724,11.130908,0,1,0.000539252,-0.019497032
203,Ngezima,1,maize,8338-1,11.423724,11.130908,0,1,0.000539252,-0.019497032
204,Ngezima,0.823788546,maize,8321-21,11.423724,11.130908,0,1,0.000539252,-0.019497032
205,Ngezima,0.704845815,sorghum,KSY-15,11.423724,11.130908,0,1,0.000539252,-0.019497032
206,Ngezima,0.537444934,sorghum,SRN-4841,11.423724,11.130908,0,1,0.000539252,-0.019497032
207,Ngezima,0.449339207,millet,SE302,11.423724,11.130908,0,1,0.000539252,-0.019497032
208,Ngezima,0.167400881,millet,SE2124,11.423724,11.130908,0,1,0.000539252,-0.019497032
209,WadMedani,0.713344316,sorghum,IS-5603,14.383395,33.538424,0,1,0.238936585,-0.111879973
210,WadMedani,0.827018122,sorghum,SRN-4841,14.383395,33.538424,0,1,0.238936585,-0.111879973
211,WadMedani,1,sorghum,N-13,14.383395,33.538424,0,1,0.238936585,-0.111879973
212,WadMedani,0.881383855,sorghum,CK-60B,14.383395,33.538424,0,1,0.238936585,-0.111879973
213,WadMedani,0.828665568,sorghum,1202B,14.383395,33.538424,0,1,0.238936585,-0.111879973
214,WadMedani,0.594728171,sorghum,2219B,14.383395,33.538424,0,1,0.238936585,-0.111879973
215,WadMedani,0.100494234,millet,B-282,14.383395,33.538424,0,1,0.238936585,-0.111879973
216,WadMedani,0.232289951,millet,Ex-Bomu,14.383395,33.538424,0,1,0.238936585,-0.111879973
217,WadMedani,0.100494234,millet,J-104,14.383395,33.538424,0,1,0.238936585,-0.111879973
