locality,lon,lat,emergence,host,host.gen,radius,ENM_avz,ENM_avm,ENM_avs
Gwoza,13.695827,11.077483,0.514285714,sorghum,SRN-4841,10000,0.0604870552602022,0.152126164661477,-0.0527955007374935
Gwoza,13.695827,11.077483,0.228571429,millet,SE302,10000,0.0604870552602022,0.152126164661477,-0.0527955007374935
Gwoza,13.695827,11.077483,0,millet,SE2124,10000,0.0604870552602022,0.152126164661477,-0.0527955007374935
Jibiya,7.061331,12.867239,0.368,maize,8322-13,10000,0.158302670709249,-0.234954797430588,-0.233417857707985
Jibiya,7.061331,12.867239,0.488,maize,8425-8,10000,0.158302670709249,-0.234954797430588,-0.233417857707985
Jibiya,7.061331,12.867239,1,maize,8338-1,10000,0.158302670709249,-0.234954797430588,-0.233417857707985
Jibiya,7.061331,12.867239,0.448,maize,8321-21,10000,0.158302670709249,-0.234954797430588,-0.233417857707985
Jibiya,7.061331,12.867239,0.292,sorghum,KSY-15,10000,0.158302670709249,-0.234954797430588,-0.233417857707985
Jibiya,7.061331,12.867239,0.212,sorghum,SRN-4841,10000,0.158302670709249,-0.234954797430588,-0.233417857707985
Jibiya,7.061331,12.867239,0,millet,SE302,10000,0.158302670709249,-0.234954797430588,-0.233417857707985
Jibiya,7.061331,12.867239,0,millet,SE2124,10000,0.158302670709249,-0.234954797430588,-0.233417857707985
Kamboinse,-1.552899,12.461239,0.336565097,sorghum,IS-5603,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.602493075,sorghum,SRN-4841,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.232686981,sorghum,N-13,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,1,sorghum,CK-60B,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.677285319,sorghum,1202B,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.691135734,sorghum,2219B,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.127423823,millet,B-282,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.084487535,millet,Ex-Bomu,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.084487535,millet,J-104,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.391966759,millet,D2-Comp,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.127423823,millet,CIVT-II,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.084487535,maize,D-771,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.110803324,maize,Diara,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.110803324,maize,Syn-B23,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kamboinse,-1.552899,12.461239,0.110803324,maize,L-4,10000,0.418407501583112,0.0110696209943231,-0.00727666866651831
Kankia,7.783579,12.427128,0.337837838,maize,8322-13,10000,-0.0937639600771634,-0.119066246929653,-0.196798828833881
Kankia,7.783579,12.427128,0.382882883,maize,8425-8,10000,-0.0937639600771634,-0.119066246929653,-0.196798828833881
Kankia,7.783579,12.427128,1,maize,8338-1,10000,-0.0937639600771634,-0.119066246929653,-0.196798828833881
Kankia,7.783579,12.427128,0.666666667,maize,8321-21,10000,-0.0937639600771634,-0.119066246929653,-0.196798828833881
Kankia,7.783579,12.427128,0.527027027,sorghum,KSY-15,10000,-0.0937639600771634,-0.119066246929653,-0.196798828833881
Kankia,7.783579,12.427128,0.346846847,sorghum,SRN-4841,10000,-0.0937639600771634,-0.119066246929653,-0.196798828833881
Kankia,7.783579,12.427128,0.292792793,millet,SE302,10000,-0.0937639600771634,-0.119066246929653,-0.196798828833881
Kankia,7.783579,12.427128,0.238738739,millet,SE2124,10000,-0.0937639600771634,-0.119066246929653,-0.196798828833881
Kazgail,30.16666667,12.08333333,1,sorghum,NA,10000,0.326622103333473,0.30610020005703,-0.143001343846321
Kazgail,30.16666667,12.08333333,0.5,millet,NA,10000,0.326622103333473,0.30610020005703,-0.143001343846321
Kobo,39.63702,12.149681,0.615097856,sorghum,IS-5603,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.272134203,sorghum,SRN-4841,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.624417521,sorghum,N-13,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.783783784,sorghum,CK-60B,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,1,sorghum,1202B,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.797763281,sorghum,2219B,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.069897484,millet,B-282,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.100652377,millet,Ex-Bomu,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.056849953,millet,J-104,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.069897484,millet,D2-Comp,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.138863001,maize,D-771,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.487418453,maize,Diara,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.657036347,maize,Syn-B23,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Kobo,39.63702,12.149681,0.399813607,maize,L-4,10000,0.0708952654216036,0.0322801398188883,-0.399604112091097
Maradi,7.103067,13.506128,0.084604716,sorghum,IS-5603,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.145631068,sorghum,SRN-4841,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.084604716,sorghum,N-13,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.13592233,sorghum,CK-60B,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.116504854,sorghum,1202B,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.155339806,sorghum,2219B,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.588072122,millet,B-282,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.485436893,millet,Ex-Bomu,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.104022191,millet,J-104,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,1,millet,D2-Comp,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.78779473,millet,CIVT-II,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.117891817,maize,D-771,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.104022191,maize,Diara,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.525658807,maize,Syn-B23,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Maradi,7.103067,13.506128,0.310679612,maize,L-4,10000,0.0852574712651617,-0.339130968473015,0.0171707677729627
Mintimbougou,-7.956554,12.614931,0.248478702,sorghum,IS-5603,10000,0.149491964101791,0.0811249678134918,-0.0114497929414113
Mintimbougou,-7.956554,12.614931,0.684584178,sorghum,SRN-4841,10000,0.149491964101791,0.0811249678134918,-0.0114497929414113
Mintimbougou,-7.956554,12.614931,0.248478702,sorghum,N-13,10000,0.149491964101791,0.0811249678134918,-0.0114497929414113
Mintimbougou,-7.956554,12.614931,1,sorghum,CK-60B,10000,0.149491964101791,0.0811249678134918,-0.0114497929414113
Mintimbougou,-7.956554,12.614931,0.345841785,sorghum,1202B,10000,0.149491964101791,0.0811249678134918,-0.0114497929414113
Mintimbougou,-7.956554,12.614931,0.594320487,sorghum,2219B,10000,0.149491964101791,0.0811249678134918,-0.0114497929414113
Mintimbougou,-7.956554,12.614931,0.690669371,millet,B-282,10000,0.149491964101791,0.0811249678134918,-0.0114497929414113
