"","locality","emergence","host","host.gen","lon","lat","ENM_a_s50km","ENM_a_m50km","ENM_a_z50km"
"122","Jibiya",0.292,"sorghum","KSY-15",7.061331,12.867239,-0.137383086,-0.251000458,0.109619245
"123","Jibiya",0.212,"sorghum","SRN-4841",7.061331,12.867239,-0.137383086,-0.251000458,0.109619245
"124","Jibiya",0,"millet","SE302",7.061331,12.867239,-0.137383086,-0.251000458,0.109619245
"125","Jibiya",0,"millet","SE2124",7.061331,12.867239,-0.137383086,-0.251000458,0.109619245
"126","Kamboinse",0.336565097,"sorghum","IS-5603",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"127","Kamboinse",0.602493075,"sorghum","SRN-4841",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"128","Kamboinse",0.232686981,"sorghum","N-13",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"129","Kamboinse",1,"sorghum","CK-60B",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"130","Kamboinse",0.677285319,"sorghum","1202B",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"131","Kamboinse",0.691135734,"sorghum","2219B",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"132","Kamboinse",0.127423823,"millet","B-282",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"133","Kamboinse",0.084487535,"millet","Ex-Bomu",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"134","Kamboinse",0.084487535,"millet","J-104",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"135","Kamboinse",0.391966759,"millet","D2-Comp",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"136","Kamboinse",0.127423823,"millet","CIVT-II",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"137","Kamboinse",0.084487535,"maize","D-771",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"138","Kamboinse",0.110803324,"maize","Diara",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"139","Kamboinse",0.110803324,"maize","Syn-B23",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"140","Kamboinse",0.110803324,"maize","L-4",-1.552899,12.461239,0.001778702,0.043795246,0.447293673
"141","Kankia",0.337837838,"maize","8322-13",7.783579,12.427128,-0.217467475,-0.143487097,-0.065511177
"142","Kankia",0.382882883,"maize","8425-8",7.783579,12.427128,-0.217467475,-0.143487097,-0.065511177
"143","Kankia",1,"maize","8338-1",7.783579,12.427128,-0.217467475,-0.143487097,-0.065511177
"144","Kankia",0.666666667,"maize","8321-21",7.783579,12.427128,-0.217467475,-0.143487097,-0.065511177
"145","Kankia",0.527027027,"sorghum","KSY-15",7.783579,12.427128,-0.217467475,-0.143487097,-0.065511177
"146","Kankia",0.346846847,"sorghum","SRN-4841",7.783579,12.427128,-0.217467475,-0.143487097,-0.065511177
"147","Kankia",0.292792793,"millet","SE302",7.783579,12.427128,-0.217467475,-0.143487097,-0.065511177
"148","Kankia",0.238738739,"millet","SE2124",7.783579,12.427128,-0.217467475,-0.143487097,-0.065511177
"149","Kazgail",1,"sorghum",NA,30.16666667,12.08333333,-0.162759809,0.251098288,0.309757144
"150","Kazgail",0.5,"millet",NA,30.16666667,12.08333333,-0.162759809,0.251098288,0.309757144
"151","Kobo",0.615097856,"sorghum","IS-5603",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"152","Kobo",0.272134203,"sorghum","SRN-4841",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"153","Kobo",0.624417521,"sorghum","N-13",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"154","Kobo",0.783783784,"sorghum","CK-60B",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"155","Kobo",1,"sorghum","1202B",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"156","Kobo",0.797763281,"sorghum","2219B",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"157","Kobo",0.069897484,"millet","B-282",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"158","Kobo",0.100652377,"millet","Ex-Bomu",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"159","Kobo",0.056849953,"millet","J-104",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"160","Kobo",0.069897484,"millet","D2-Comp",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"161","Kobo",0.138863001,"maize","D-771",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"162","Kobo",0.487418453,"maize","Diara",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"163","Kobo",0.657036347,"maize","Syn-B23",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"164","Kobo",0.399813607,"maize","L-4",39.63702,12.149681,-0.332836664,0.022114536,0.106849905
"165","Maradi",0.084604716,"sorghum","IS-5603",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"166","Maradi",0.145631068,"sorghum","SRN-4841",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"167","Maradi",0.084604716,"sorghum","N-13",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"168","Maradi",0.13592233,"sorghum","CK-60B",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"169","Maradi",0.116504854,"sorghum","1202B",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"170","Maradi",0.155339806,"sorghum","2219B",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"171","Maradi",0.588072122,"millet","B-282",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"172","Maradi",0.485436893,"millet","Ex-Bomu",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"173","Maradi",0.104022191,"millet","J-104",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"174","Maradi",1,"millet","D2-Comp",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"175","Maradi",0.78779473,"millet","CIVT-II",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"176","Maradi",0.117891817,"maize","D-771",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"177","Maradi",0.104022191,"maize","Diara",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"178","Maradi",0.525658807,"maize","Syn-B23",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"179","Maradi",0.310679612,"maize","L-4",7.103067,13.506128,-0.008155254,-0.346509682,0.053422931
"180","Mintimbougou",0.248478702,"sorghum","IS-5603",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"181","Mintimbougou",0.684584178,"sorghum","SRN-4841",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"182","Mintimbougou",0.248478702,"sorghum","N-13",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"183","Mintimbougou",1,"sorghum","CK-60B",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"184","Mintimbougou",0.345841785,"sorghum","1202B",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"185","Mintimbougou",0.594320487,"sorghum","2219B",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"186","Mintimbougou",0.690669371,"millet","B-282",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"187","Mintimbougou",0.72515213,"millet","Ex-Bomu",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"188","Mintimbougou",0.364097363,"millet","J-104",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"189","Mintimbougou",0.776876268,"millet","D2-Comp",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"190","Mintimbougou",0.918864097,"millet","CIVT-II",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"191","Mintimbougou",0.109533469,"maize","D-771",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"192","Mintimbougou",0.137931034,"maize","Diara",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"193","Mintimbougou",0.165314402,"maize","Syn-B23",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"194","Mintimbougou",0.109533469,"maize","L-4",-7.956554,12.614931,-0.013898567,0.092663495,0.197840276
"195","Mokwa",0.292134831,"maize","8322-13",5.056659,9.2894,-0.179600141,0.039491693,-0.295972607
"196","Mokwa",1,"maize","8425-8",5.056659,9.2894,-0.179600141,0.039491693,-0.295972607
"197","Mokwa",0.488764045,"maize","8338-1",5.056659,9.2894,-0.179600141,0.039491693,-0.295972607
"198","Mokwa",0.382022472,"maize","8321-21",5.056659,9.2894,-0.179600141,0.039491693,-0.295972607
"199","Mokwa",0.58988764,"sorghum","KSY-15",5.056659,9.2894,-0.179600141,0.039491693,-0.295972607
"200","Mokwa",0.573033708,"sorghum","SRN-4841",5.056659,9.2894,-0.179600141,0.039491693,-0.295972607
"201","Mokwa",0.213483146,"millet","SE302",5.056659,9.2894,-0.179600141,0.039491693,-0.295972607
"202","Mokwa",0.101123596,"millet","SE2124",5.056659,9.2894,-0.179600141,0.039491693,-0.295972607
"203","Ngezima",0.220264317,"maize","8322-13",11.130908,11.423724,-0.058521221,-0.001802278,0.079125551
"204","Ngezima",0.374449339,"maize","8425-8",11.130908,11.423724,-0.058521221,-0.001802278,0.079125551
"205","Ngezima",1,"maize","8338-1",11.130908,11.423724,-0.058521221,-0.001802278,0.079125551
"206","Ngezima",0.823788546,"maize","8321-21",11.130908,11.423724,-0.058521221,-0.001802278,0.079125551
"207","Ngezima",0.704845815,"sorghum","KSY-15",11.130908,11.423724,-0.058521221,-0.001802278,0.079125551
"208","Ngezima",0.537444934,"sorghum","SRN-4841",11.130908,11.423724,-0.058521221,-0.001802278,0.079125551
"209","Ngezima",0.449339207,"millet","SE302",11.130908,11.423724,-0.058521221,-0.001802278,0.079125551
"210","Ngezima",0.167400881,"millet","SE2124",11.130908,11.423724,-0.058521221,-0.001802278,0.079125551
"211","Obeid",1,"sorghum",NA,30.23333333,13.16666667,-0.102765228,0.015394343,0.200446111
"212","Obeid",0.25,"millet",NA,30.23333333,13.16666667,-0.102765228,0.015394343,0.200446111
"213","Samaru",0.083333333,"sorghum","IS-2652",8.38333,9.75,-0.1650264,0.424824842,-0.307367579
"214","Samaru",0.05952381,"sorghum","IS-3469",8.38333,9.75,-0.1650264,0.424824842,-0.307367579
"215","Samaru",0.125,"sorghum","IS-9289",8.38333,9.75,-0.1650264,0.424824842,-0.307367579
"216","Samaru",1,"sorghum","DFF-2123",8.38333,9.75,-0.1650264,0.424824842,-0.307367579
"217","Samaru",0,"millet","Ex-Tukur",8.38333,9.75,-0.1650264,0.424824842,-0.307367579
"218","Samaru",0,"millet","Ex-Mokwa",8.38333,9.75,-0.1650264,0.424824842,-0.307367579
"219","Samaru",0,"maize","NigCompB",8.38333,9.75,-0.1650264,0.424824842,-0.307367579
"220","Samaru",0,"maize","BiuYellowXC-10",8.38333,9.75,-0.1650264,0.424824842,-0.307367579
"221","SinthionMaleme",1,"sorghum","IS-2652",-13.916667,13.8167,0.020253838,-0.028527879,0.415948143
"222","SinthionMaleme",0.037037037,"sorghum","IS-3469",-13.916667,13.8167,0.020253838,-0.028527879,0.415948143
"223","SinthionMaleme",0.611111111,"sorghum","IS-9289",-13.916667,13.8167,0.020253838,-0.028527879,0.415948143
"224","SinthionMaleme",0.5,"sorghum","DFF-2123",-13.916667,13.8167,0.020253838,-0.028527879,0.415948143
"225","SinthionMaleme",0.666666667,"millet","Ex-Tukur",-13.916667,13.8167,0.020253838,-0.028527879,0.415948143
"226","SinthionMaleme",0.185185185,"millet","Ex-Mokwa",-13.916667,13.8167,0.020253838,-0.028527879,0.415948143
"227","SinthionMaleme",0.222222222,"maize","NigCompB",-13.916667,13.8167,0.020253838,-0.028527879,0.415948143
"228","SinthionMaleme",0.12962963,"maize","BiuYellowXC-10",-13.916667,13.8167,0.020253838,-0.028527879,0.415948143
"229","Tamale",0.111111111,"sorghum","IS-2652",-0.8393,9.40079,0.038104254,0.253986459,-0.023870779
"230","Tamale",0.333333333,"sorghum","IS-3469",-0.8393,9.40079,0.038104254,0.253986459,-0.023870779
"231","Tamale",0.136752137,"sorghum","IS-9289",-0.8393,9.40079,0.038104254,0.253986459,-0.023870779
"232","Tamale",1,"sorghum","DFF-2123",-0.8393,9.40079,0.038104254,0.253986459,-0.023870779
"233","Tamale",0,"millet","Ex-Tukur",-0.8393,9.40079,0.038104254,0.253986459,-0.023870779
"234","Tamale",0.068376068,"millet","Ex-Mokwa",-0.8393,9.40079,0.038104254,0.253986459,-0.023870779
"235","Tamale",0.05982906,"maize","NigCompB",-0.8393,9.40079,0.038104254,0.253986459,-0.023870779
"236","Tamale",0.299145299,"maize","BiuYellowXC-10",-0.8393,9.40079,0.038104254,0.253986459,-0.023870779
"237","WadMedani",0.713344316,"sorghum","IS-5603",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"238","WadMedani",0.827018122,"sorghum","SRN-4841",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"239","WadMedani",1,"sorghum","N-13",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"240","WadMedani",0.881383855,"sorghum","CK-60B",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"241","WadMedani",0.828665568,"sorghum","1202B",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"242","WadMedani",0.594728171,"sorghum","2219B",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"243","WadMedani",0.100494234,"millet","B-282",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"244","WadMedani",0.232289951,"millet","Ex-Bomu",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"245","WadMedani",0.100494234,"millet","J-104",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"246","WadMedani",0.123558484,"millet","D2-Comp",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"247","WadMedani",0.161449753,"millet","CIVT-II",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"248","WadMedani",0.420098847,"maize","D-771",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"249","WadMedani",0.477759473,"maize","Diara",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"250","WadMedani",0.472817133,"maize","Syn-B23",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"251","WadMedani",0.377265239,"maize","L-4",33.538424,14.383395,-0.121356078,0.30620522,0.150824321
"252","Yendi",0.408695652,"sorghum","IS-2652",-0.00991,9.44272,0.037425635,0.155751064,-0.00574888
"253","Yendi",0.533333333,"sorghum","IS-3469",-0.00991,9.44272,0.037425635,0.155751064,-0.00574888
"254","Yendi",0.144927536,"sorghum","IS-9289",-0.00991,9.44272,0.037425635,0.155751064,-0.00574888
"255","Yendi",1,"sorghum","DFF-2123",-0.00991,9.44272,0.037425635,0.155751064,-0.00574888
